EQUIPO,ID_TEAM
Manchester City,572dd3c3
Liverpool,572dd3c4
Arsenal,572dd3c5
Tottenham Hotspur,572dd3c6
Aston Villa,572dd3c7
Manchester United,572dd3c8
Newcastle United,572dd3c9
Brighton & Hove Albion,572dd3ca
West Ham United,572dd3cb
Chelsea,572dd3cc
Brentford,572dd3cd
Wolverhampton Wanderers,572dd3ce
Crystal Palace,572dd3cf
Everton,572dd3d0
Nottingham Forest,572dd3d1
Fulham,572dd3d2
AFC Bournemouth,572dd3d3
Luton Town,572dd3d4
ff UtdSheffield United,572dd3d5
Burnley,572dd3d6
